"site","title","company","location","date_posted","job_type","job_url"
"indeed","Junior DevOps Engineer","Shivom Consultancy Ltd","Brentford, ENG, GB","2026-01-28","fulltime","https://uk.indeed.com/viewjob?jk=4cc13bbf0a02191d"
"indeed","Lead Front End Software Engineer - TypeScript React - Vice President","JPMorganChase","London, ENG, GB","2026-01-28","fulltime","https://uk.indeed.com/viewjob?jk=9b25e97725335bb2"
"indeed","Experienced AI Software Engineer","AVEVA","Cambridge, ENG, GB","2026-01-28","fulltime","https://uk.indeed.com/viewjob?jk=b7e09c1df33b288e"
"indeed","Junior Helpdesk Engineer","Commercial Services Group","West Malling, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=6eff58003d067358"
"indeed","Principal Information Security Engineer","Mastercard","London, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=32e27ef618eca6fc"
"indeed","Senior Machine Learning Engineer","Sky","London, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=2c9856dfade69b30"
"indeed","Junior Test Engineer","Ziff Davis","London, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=305928451c721faa"
"indeed","Junior Cloud DevOps Engineer - Performance Science","Brighton and Hove Albion Football Club","Brighton and Hove, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=560de70ee84eeb99"
"indeed","Junior Cloud DevOps Engineer - Performance Science","Brighton and Hove Albion Football Club","Lancing, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=09d3deb038135058"
"indeed","Junior AI Engineer","Nomad Digital","Newcastle upon Tyne, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=45343bfcb4c208e3"
"indeed","Junior UX Designer","Trainline","London, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=e26653bbcdde9093"
"indeed","Senior Platform Engineer","UK Tote Group","Wigan, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=a2a3d4f150595621"
"indeed","Cloud Engineer, Azure","Fortegra","London, ENG, GB","2026-01-27","","https://uk.indeed.com/viewjob?jk=f3ab4a946ac7d5b9"
"indeed","Senior Product Designer - Digital Lending","OakNorth","London, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=d21ca47567edd396"
"indeed","Senior Simulation Engineer (Data Science)","Gousto","London, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=997f21939b4586ba"
"indeed","Dev Ops Engineer Level 4 Apprenticeship","Transport for London","Pier, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=0723241c9943b73a"
"indeed","Senior Software Engineer - Markets Prepay","Kraken","London, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=faf18faa4c704c57"
"indeed","Machine Learning Engineer","","Bristol, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=0c4d282a348a7bcd"
"indeed","Senior Independent Software Developer","","Remote, GB","2026-01-27","parttime, fulltime","https://uk.indeed.com/viewjob?jk=dabe3840d673ad0b"
"indeed","Software Engineer Developer","CDW","London, ENG, GB","2026-01-27","fulltime","https://uk.indeed.com/viewjob?jk=62a46d0af5894d23"
"indeed","Back End Developer","Barclays","Knutsford, ENG, GB","2026-01-26","","https://uk.indeed.com/viewjob?jk=3a858bcd012a5501"
"indeed","Analytics Engineer","MVF","London, ENG, GB","2026-01-26","","https://uk.indeed.com/viewjob?jk=5343c323fb41ac66"
"indeed","Senior Software Engineer (C#, .NET)","PEXA","Leeds, ENG, GB","2026-01-26","","https://uk.indeed.com/viewjob?jk=0b96d3cfb229f21e"
"indeed","Senior Software Engineer (C#, .NET)","PEXA","Thame, ENG, GB","2026-01-26","","https://uk.indeed.com/viewjob?jk=81c7d071e76b9661"
"indeed","Senior Machine Learning Research Engineer","Cambridge University Press & Assessment","Cambridge, ENG, GB","2026-01-26","","https://uk.indeed.com/viewjob?jk=6b56d4eb01b2780c"
"indeed","Senior Electrical Engineer- Power Generation/Energy Solution","J&T Business Consulting","Armagh, NIR, GB","2026-01-26","fulltime","https://uk.indeed.com/viewjob?jk=6a93b625bb0ad18d"
"indeed","Senior Software Engineer Developer","CDW","London, ENG, GB","2026-01-26","fulltime","https://uk.indeed.com/viewjob?jk=db0848ab64bfe359"
"indeed","Senior Software Engineer","Gousto","London, ENG, GB","2026-01-26","fulltime","https://uk.indeed.com/viewjob?jk=1cfcaac9ced147cd"
